query,name,category,sub_category,sub_genre,productDescription,all_text,scores,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base
chargers,15W Travel Charger (with Cable),Mobile,Mobile Accessories,Charger,"15W Travel Charger (EP-T1510XBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.","15W Travel Charger (with Cable) Mobile Mobile Accessories Charger 15W Travel Charger (EP-T1510XBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.",-9.955136,0.35836372,0.4650335,0.4130099,-9.955136,0.28104827,0.6530089,0.6559595
chargers,Wireless Charger Duo (without Travel Adapter),Mobile,Mobile Accessories,Charger,"Buy Wireless Charger Duo (without Travel Adapter) with Fast Charging, One charger, two devices & more. Know  its price.","Wireless Charger Duo (without Travel Adapter) Mobile Mobile Accessories Charger Buy Wireless Charger Duo (without Travel Adapter) with Fast Charging, One charger, two devices & more. Know  its price.",-8.203789,0.4798103,0.74779946,0.7137252,-8.203789,0.31466696,0.56339175,0.64592975
chargers,45 W Type-C Travel Adaptor with Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Shop Samsung 45 W Type-C Travel Adaptor with Cable in black color. Supercharge your devices, Power down with standby power, Versatile compatibility.","45 W Type-C Travel Adaptor with Cable Mobile Mobile Accessories Adaptors and Cables Shop Samsung 45 W Type-C Travel Adaptor with Cable in black color. Supercharge your devices, Power down with standby power, Versatile compatibility.",-10.457476,0.35515687,0.5031194,0.6733889,-10.457476,0.065528266,0.28945285,0.009073793
chargers,25W Travel Adaptor without Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.","25W Travel Adaptor without Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung 25W Travel Adapter comes without cable, powerfully refined, Type C Compatible and more. To know price and specs visit here.",-10.710689,0.2531917,0.43901715,0.4690826,-10.710689,0.04476427,0.2450461,0.0009864682
chargers,35W Power Adapter Duo TA220,Mobile,Mobile Accessories,Adaptors and Cables,"35W Power Adapter Duo TA220 (EP-TA220NBNG) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.","35W Power Adapter Duo TA220 Mobile Mobile Accessories Adaptors and Cables 35W Power Adapter Duo TA220 (EP-TA220NBNG) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.",-10.1665,0.281555,0.31031963,0.3898713,-10.1665,0.035081275,0.24847339,0.008882469
chargers,65W Travel Adaptor (without cable),Mobile,Mobile Accessories,Charger,"65W Travel Adaptor (without cable) (EP-T6530NBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.","65W Travel Adaptor (without cable) Mobile Mobile Accessories Charger 65W Travel Adaptor (without cable) (EP-T6530NBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories here.",-9.742525,0.28669256,0.47775948,0.76569134,-9.742525,0.22160193,0.5041434,0.48575968
chargers,15W New Design Travel Adaptor (Without Cable),Mobile,Mobile Accessories,Charger,"EP-T1510N 15W Power Adapter (EP-T1510NBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories Samsung India.","15W New Design Travel Adaptor (Without Cable) Mobile Mobile Accessories Charger EP-T1510N 15W Power Adapter (EP-T1510NBNGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories Samsung India.",-9.555235,0.28509155,0.41478345,0.27167445,-9.555235,0.22882612,0.4982444,0.789493
chargers,Multiport Adapter,PC,PC Accessories,Adapter,"P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.","Multiport Adapter PC PC Accessories Adapter P5400U-MPA (EE-P5400USEGIN) - Explore the benefits, features & offers of this product. Know more and buy best PC Accessories for you at Samsung India.",-10.842131,0.26363888,0.029667743,0.012436369,-10.842131,0.066645704,0.2781024,0.0005104547
chargers,Cable (Type-C),Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.","Cable (Type-C) Mobile Mobile Accessories Adaptors and Cables Buy Samsung Cable (Type-C) (Black) EP-DG930IBEGIN online. Learn all about Cable (Type-C) including prices, offers, specifications & shop from Samsung India.",-10.752518,0.23874584,0.058629528,0.10946041,-10.752518,0.04993843,0.2771349,0.00072135444
chargers,C to C Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Cable (C to C) (White) EP-DA705BWEGIN online. Learn all about C to C Cable including prices, offers, specifications & shop from Samsung India.","C to C Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung Cable (C to C) (White) EP-DA705BWEGIN online. Learn all about C to C Cable including prices, offers, specifications & shop from Samsung India.",-10.690096,0.20346013,0.052690264,0.13135614,-10.690096,0.041775715,0.25868866,0.0050851535
chargers,Wireless Power Bank 10000 mAh,Mobile,Mobile Accessories,Battery Packs,"Samsung Wireless Power Bank 10000 mAh (EB-U2510XUEGIN) - Wireless power on-the-go, Power up in a flash, Double the ports & more.","Wireless Power Bank 10000 mAh Mobile Mobile Accessories Battery Packs Samsung Wireless Power Bank 10000 mAh (EB-U2510XUEGIN) - Wireless power on-the-go, Power up in a flash, Double the ports & more.",-9.906241,0.2747734,0.1316232,0.20858836,-9.906241,0.049366683,0.2918013,0.008101325
chargers,Power Bank 20000 mAh,Mobile,Mobile Accessories,Battery Packs,"Samsung Power Bank 20000 mAh Beige (EB-P4520XUEGIN) - Super fast charging on-the-go, Recharge 3 device simultaneously, Green power, redefined & more.","Power Bank 20000 mAh Mobile Mobile Accessories Battery Packs Samsung Power Bank 20000 mAh Beige (EB-P4520XUEGIN) - Super fast charging on-the-go, Recharge 3 device simultaneously, Green power, redefined & more.",-5.318219,0.4129168,0.24998826,0.665004,-5.318219,0.10858262,0.50444746,0.030876197
chargers,Galaxy S24 Smart View Wallet Case,Mobile,Mobile Accessories,Cases,"Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.","Galaxy S24 Smart View Wallet Case Mobile Mobile Accessories Cases Galaxy S24 Smart View Wallet Case Violet Interactive small-screen view cover, Seamless control at a tap, Handy hidden pocket.",-11.115133,0.1344983,0.018984593,0.037118383,-11.115133,0.030870797,0.2302748,5.084617e-05
chargers,SmartThings Dongle VG-STDB10A,TV,TV-Accessories,Dongle,SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,SmartThings Dongle VG-STDB10A TV TV-Accessories Dongle SmartThings Dongle (VG-STDB10A/XL) - Explore the features & offers of this product. Know more and buy best TV-Accessories for you at Samsung India.,-11.084015,0.30561987,0.017359853,0.039809093,-11.084015,0.03095094,0.22125737,0.0001213743
chargers,SolarCell Remote,TV,TV-Accessories,Remote,"Buy SolarCell TV Remote, comes with a sleek and simple design. It is rechargeable through Solar Cell, USB Type-C Cable. Shop for TV accessories at Samsung India.","SolarCell Remote TV TV-Accessories Remote Buy SolarCell TV Remote, comes with a sleek and simple design. It is rechargeable through Solar Cell, USB Type-C Cable. Shop for TV accessories at Samsung India.",-11.079544,0.36352643,0.09027659,0.11361183,-11.079544,0.03766871,0.22931722,0.0041304813
chargers,25W Travel Adaptor with Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Shop Samsung Travel Adaptor with Powerfully refined,Compact yet powerful,Save on the stand-by.","25W Travel Adaptor with Cable Mobile Mobile Accessories Adaptors and Cables Shop Samsung Travel Adaptor with Powerfully refined,Compact yet powerful,Save on the stand-by.",-10.657632,0.19960307,0.09858785,0.088987365,-10.657632,0.046418108,0.23673734,0.003225891
chargers,10W Travel Adapter + USB Type B,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Travel Adapter (10W) White (EP-TA13IWEUGIN) online. Explore the prices, offers, specifications. Buy the best travel adapter from Samsung India.","10W Travel Adapter + USB Type B Mobile Mobile Accessories Adaptors and Cables Buy Samsung Travel Adapter (10W) White (EP-TA13IWEUGIN) online. Explore the prices, offers, specifications. Buy the best travel adapter from Samsung India.",-10.579551,0.2987552,0.22719918,0.33896816,-10.579551,0.03404352,0.20915654,0.004025882
chargers,25W Travel Adapter,Mobile,Mobile Accessories,Adaptors and Cables,"25W Wall Adapter TA800 (EP-TA800NBEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.","25W Travel Adapter Mobile Mobile Accessories Adaptors and Cables 25W Wall Adapter TA800 (EP-TA800NBEGIN) - Explore the benefits, features & offers of this product. Know more and buy best Mobile Accessories for you at Samsung India.",-10.544161,0.25298682,0.24193873,0.1713697,-10.544161,0.03799632,0.234841,0.0028583126
chargers,25W Travel Adapter + C to C  Cable,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Super Fast Charger (25W) (Black) EP-TA800XBNGIN online. Know more about the Super Fast Charger (25W) including prices, offers, specifications.","25W Travel Adapter + C to C  Cable Mobile Mobile Accessories Adaptors and Cables Buy Samsung Super Fast Charger (25W) (Black) EP-TA800XBNGIN online. Know more about the Super Fast Charger (25W) including prices, offers, specifications.",-9.688032,0.26763776,0.42036545,0.37442264,-9.688032,0.25355956,0.52028376,0.45917165
chargers,45W Travel Adapter,Mobile,Mobile Accessories,Adaptors and Cables,"Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.","45W Travel Adapter Mobile Mobile Accessories Adaptors and Cables Buy Samsung Travel Adapter (45W)(Black) EP-TA845XBNGIN online. Discover the prices, offers, specifications before purchasing the travel adapter from Samsung India.",-10.714815,0.21993445,0.21778744,0.39605927,-10.714815,0.028448816,0.20640069,0.0022545327
