query,name,category,sub_category,sub_genre,productDescription,all_text,scores_model_mxbai-rerank-xsmall-v1,scores_model_mxbai-rerank-large-v1,scores_model_mxbai-rerank-base-v1,scores_model_MiniLM,scores_model_jina-reranker-v1-turbo-en,scores_model_jina-reranker-v1-tiny-en,scores_model_bge-reranker-base,scores_flashrerank_zephyr7b,Score_Type
french door fridge,580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX,Home Appliances,Refrigerators,French Door,"Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.","580 L Wi-Fi & Twin Cooling Plus™ French Door Refrigerator RF57B5132DX Home Appliances Refrigerators French Door Buy 580L French Door Fridge (RF57B5132DX) with wifi embedded, convertible freezer, twin cooling. Shop Refrigerators at Samsung India.",0.9612679,0.97485006,0.9758877,8.019138,0.7825508,0.9366773,0.99894315,0.073469387755102,Top 10 Highest
solo microwave ovens,"23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.","23 L Quick Defrost, Solo Microwave Oven, MS23A3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven (MS23A3513AK/TL) with Quick Defrost, Eco Mode, Ceramic Inside. Shop microwave oven at Samsung India.",0.9609602,0.9821217,0.9430137,8.3209305,0.80086887,0.94895774,0.999337,0.091743119266055,Top 10 Highest
french door fridge,550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9,Home Appliances,Refrigerators,French Door,"Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.","550 L Twin Cooling Plus™ French Door Refrigerator RF57A5032S9 Home Appliances Refrigerators French Door Buy 550L French Door Fridge with Twin Cooling Plus™ RF57A5032S9 with Convertible freezer, Fingerprint Resistant Finish. Know its price.",0.9553566,0.97260284,0.9893506,7.872223,0.75218517,0.9392783,0.998735,0.0753138075313807,Top 10 Highest
solo microwave ovens,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK",Home Appliances,Microwave Ovens,Solo,Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.,"23L Ceramic Enamel Cavity, Solo Microwave Oven, MS23K3513AK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23K3513AK with Eco Mode & Quick Defrost In Black & purchase. Shop Solo Microwave Oven at Samsung India.",0.9539075,0.9795091,0.9595732,8.517555,0.791543,0.94710207,0.9989753,0.0869565217391304,Top 10 Highest
french door fridge,650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL,Home Appliances,Refrigerators,French Door,"Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.","650 L Dual Flex Zone French Door Refrigerator RF70A90T0SL Home Appliances Refrigerators French Door Buy 650L 4 door French Door fridge (RF70A90T0SL) with Triple cooling, Smart view. Check features, specs, prices & offers. Shop Refrigerators at Samsung India.",0.94597644,0.9744846,0.96774596,7.726576,0.79017156,0.9305814,0.99843615,0.0697674418604651,Top 10 Highest
solo microwave ovens,"23L Dual Dial, Solo Microwave Oven, MS23F300EEK",Home Appliances,Microwave Ovens,Solo,"Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.","23L Dual Dial, Solo Microwave Oven, MS23F300EEK Home Appliances Microwave Ovens Solo Buy 23L Solo Microwave Oven MS23F300EEK. Explore 23L Solo Microwave Oven including prices, offers, specifications & shop at Samsung India.",0.9428467,0.95946807,0.9478879,8.253795,0.77033454,0.9470952,0.9985581,0.0896860986547085,Top 10 Highest
solo microwave ovens,"23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK",Home Appliances,Microwave Ovens,Solo,"Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.","23L Healthy Steam Cook, Solo Microwave Oven, MS23T5012UK Home Appliances Microwave Ovens Solo Buy Solo MWO with Healty Steam (MS23T5012UK/TL). Explore features, price & offers. Shop Microwave Ovens at Samsung India.",0.9425689,0.8877563,0.88323545,7.8482924,0.78786284,0.9466691,0.99637115,0.0930232558139534,Top 10 Highest
french door fridge,702 L Beverage Center French Door Refrigerator RF70A967FB1,Home Appliances,Refrigerators,French Door,"Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.","702 L Beverage Center French Door Refrigerator RF70A967FB1 Home Appliances Refrigerators French Door Buy 702L French Door Fridge with features like triple cooling, beverage center. Know more about this product and shop best refrigerators at Samsung India.",0.93688494,0.9685264,0.9488725,7.986796,0.7896348,0.9232953,0.99951625,0.0705882352941176,Top 10 Highest
french door fridge,620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377,Home Appliances,Refrigerators,French Door,"Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.","620 L BESPOKE 4-Door Flex French Door Refrigerator RF63A91C377 Home Appliances Refrigerators French Door Buy 620L 4 door French Door Family Hub Fridge with Triple cooling, Smart view, and more. Shop refrigerator at Samsung India.",0.92696756,0.97577715,0.9630701,7.8239946,0.81038135,0.93959075,0.9981686,0.0786026200873362,Top 10 Highest
solo microwave ovens,"20L Full Glass Door, Solo Microwave Oven, MS20A3010AL",Home Appliances,Microwave Ovens,Solo,"Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.","20L Full Glass Door, Solo Microwave Oven, MS20A3010AL Home Appliances Microwave Ovens Solo Buy 20L Microwave oven (MS20A3010AL/TL) with Full Glass Door, Dual dial, LED Lighting. Shop Microwave Ovens at Samsung India.",0.9216567,0.96256495,0.9219758,8.443484,0.7801122,0.95147794,0.9991725,0.0925925925925925,Top 10 Highest
